<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
25/09/18,115270,115290,115230,115250
25/09/18,115240,115250,115180,115220
25/09/18,115230,115280,115220,115250
25/09/18,115250,115270,115200,115230
25/09/18,115250,115250,115200,115200
25/09/18,115200,115220,115170,115200
25/09/18,115210,115240,115200,115220
25/09/18,115220,115230,115180,115200
25/09/18,115210,115210,115180,115200
25/09/18,115190,115240,115160,115170
25/09/18,115170,115170,115090,115100
25/09/18,115090,115120,114980,115080
25/09/18,115060,115120,115050,115060
25/09/18,115070,115140,115030,115110
25/09/18,115110,115110,115060,115060
25/09/18,115060,115120,115020,115080
25/09/18,115080,115080,115040,115050
25/09/18,115040,115060,115040,115060
25/09/18,115060,115120,115040,115120
25/09/18,115110,115210,115110,115170
25/09/18,115170,115240,115170,115180
25/09/18,115190,115210,115160,115210
25/09/18,115210,115210,115160,115200
25/09/18,115200,115250,115200,115230
25/09/18,115240,115270,115230,115260
25/09/18,115260,115270,115240,115250
25/09/18,115240,115300,115240,115270
25/09/18,115270,115300,115270,115280
25/09/18,115300,115320,115270,115280
25/09/18,115280,115290,115220,115270
25/09/18,115270,115310,115260,115280
25/09/18,115280,115280,115230,115230
25/09/18,115240,115290,115210,115270
25/09/18,115280,115300,115270,115280
25/09/18,115280,115300,115270,115290
25/09/18,115300,115320,115260,115260
25/09/18,115260,115270,115230,115250
25/09/18,115250,115290,115220,115250
25/09/18,115250,115260,115140,115220
25/09/18,115220,115250,115190,115210
25/09/18,115220,115220,115130,115130
25/09/18,115120,115130,115030,115090
25/09/18,115110,115240,115050,115230
25/09/18,115230,115230,115160,115180
25/09/18,115180,115240,115170,115240
25/09/18,115230,115340,115230,115300
25/09/18,115310,115310,115270,115280
25/09/18,115280,115330,115270,115310
25/09/18,115310,115320,115290,115310
25/09/18,115310,115330,115290,115300
25/09/18,115300,115300,115250,115250
25/09/18,115240,115270,115230,115260
25/09/18,115260,115270,115180,115250
25/09/18,115250,115270,115220,115270
25/09/18,115270,115300,115260,115300
25/09/18,115290,115310,115260,115290
25/09/18,115290,115290,115260,115280
25/09/18,115280,115390,115280,115320
25/09/18,115310,115340,115290,115310
25/09/18,115310,115370,115310,115330
25/09/18,115320,115330,115300,115330
25/09/18,115320,115390,115320,115350
25/09/18,115360,115380,115310,115310
25/09/18,115310,115330,115290,115330
25/09/18,115310,115320,115260,115260
25/09/18,115260,115310,115250,115280
25/09/18,115300,115300,115220,115230
